0,1,2,3,4,5,6
Article,Description,PU,Quantity,,Price/Unit,Amount
,PU:4 /Origin:PT / Weight(gr):1300 / HS:6911100090 / EAN:5415252008523,,,,,
21913,"Brabantia Vigo, Oven Dish Rectangular 23cm",3,12,PCS,"2,19","26,28"
,PU:4 /Origin:PT / Weight(gr):750 / HS:6911100090 / EAN:5415252008530,,,,,
21903,"Brabantia Pure, Salad Bowl",3,12,PCS,"3,29","39,48"
,PU:4 /Origin:RO / Weight(gr):1300 / HS:6911100090 / EAN:5415252003283,,,,,
21895,"Ritzenhoff, Set Of 2 Hugo Glasses, Hilles & Rosenkranz",2,12,PCS,"3,39","40,68"
,PU:6 /Origin:DE / Weight(gr):456 / HS:7013289000 / EAN:4001852067490,,,,,
21894,"Ritzenhoff, Set Of 2 Aperizzo Glasses, Kordes & Rosenkranz",2,12,PCS,"3,39","40,68"
,PU:6 /Origin:DE / Weight(gr):445 / HS:7013289000 / EAN:4001852067476,,,,,
21892,"Ritzenhoff, Set Of 2 Rosato Glasses, Hoshino & Stockebrand",2,12,PCS,"3,39","40,68"
,PU:6 /Origin:DE / Weight(gr):456 / HS:7013289000 / EAN:4001852067513,,,,,
21891,"Ritzenhoff, Set Of 2 Red Wine Glasses, Ito & Jacquart",2,12,PCS,"3,39","40,68"
,PU:6 /Origin:DE / Weight(gr):421 / HS:7013289000 / EAN:4001852064871,,,,,
21889,"Ritzenhoff, Set Of 2 Beer Glasses Black Label, Kömer & Kordes",",5",3,PCS,"3,39","10,17"
,PU:6 /Origin:DE / Weight(gr):560 / HS:7013379100 / EAN:4001852064659,,,,,
21888,"Ritzenhoff, Set Of 2 Beer Glasses Black Label, Chung & Kurz Kurz",2,12,PCS,"3,39","40,68"
,PU:6 /Origin:DE / Weight(gr):559 / HS:7013379100 / EAN:4001852064789,,,,,
21887,"Ritzenhoff, Set Of 4 Milk Glasses, Mendil & Wullner",2,12,PCS,"3,39","40,68"
,PU:6 /Origin:DE / Weight(gr):781 / HS:7013379100 / EAN:4001852062082,,,,,
21883,"Ritzenhoff, Set Of Beer Glasses Black Label, Ito & Jacquart",2,12,PCS,"3,39","40,68"
,PU:6 /Origin:DE / Weight(gr):559 / HS:7013379100 / EAN:4001852061948,,,,,
21391,"Point-Virgule, Bamboo Fiber Salad Bowl Terrazzo 32,5x7,5cm",1,12,PCS,"1,89","22,68"
,PU:12 /Origin:CN / Weight(gr):760 / HS:3926909790 / EAN:5420059838976,,,,,
21390,"Point-Virgule, Bamboo Fiber Bowl Terrazzo 24x5,5cm",1,24,PCS,"1,29","30,96"
,PU:24 /Origin:CN / Weight(gr):300 / HS:3926909790 / EAN:5420059838945,,,,,
21387,"Point-Virgule, Bamboo Fiber Plate Terrazzo 26cm",1,24,PCS,"0,89","21,36"
,PU:24 /Origin:CN / Weight(gr):200 / HS:3926909790 / EAN:5420059838853,,,,,
21386,"Point-Virgule, Bamboo Fiber Plate Terrazzo 21cm",1,24,PCS,"0,59","14,16"
,PU:24 /Origin:CN / Weight(gr):144 / HS:3926909790 / EAN:5420059838822,,,,,
21385,"Point-Virgule, Bamboo Fiber Deep Plate Terrazzo 22,5x4,4cm",1,36,PCS,"0,89","32,04"
,PU:36 /Origin:CN / Weight(gr):260 / HS:3926909790 / EAN:5420059838792,,,,,
21383,"Point-Virgule, Set Of 2 Bamboo Fiber Salad Server Set Terracotta",1,72,PCS,"0,59","42,48"
,27cm,,,,,
,PU:72 /Origin:CN / Weight(gr):120 / HS:3926909790 / EAN:5420059835203,,,,,
21379,"Point-Virgule, Bamboo Fiber Bowl Terracotta 29,8x13,3cm",2,12,PCS,"1,89","22,68"
,PU:6 /Origin:CN / Weight(gr):200 / HS:3926909790 / EAN:5420059835234,,,,,
21372,"Point-Virgule, Bamboo Fiber Salad Bowl White And Orange 32x6,9cm",2,12,PCS,"1,89","22,68"
,PU:6 /Origin:CN / Weight(gr):580 / HS:3926909790 / EAN:5420059838587,,,,,
21371,"Point-Virgule, Bamboo Fiber Plate White And Orange 24x2,7cm",1,36,PCS,"1,19","42,84"
,PU:36 /Origin:CN / Weight(gr):270 / HS:3926909790 / EAN:5420059838556,,,,,
21370,"Point-Virgule, Bamboo Fiber Plate White And Orange 19,5x2,2cm",1,48,PCS,"0,89","42,72"
,PU:48 /Origin:CN / Weight(gr):170 / HS:3926909790 / EAN:5420059838525,,,,,
21350,"Point-Virgule, Bamboo Fiber Bread Box Cement Grey 36x19x13cm",1,6,PCS,"4,29","25,74"
,PU:6 /Origin:CN / Weight(gr):1100 / HS:3926909790 / EAN:5420059838235,,,,,
20983,"Terraillon, Loaf Tin 25cm",3,18,PCS,"1,39","25,02"
,PU:6 /Origin:IT / Weight(gr):220 / HS:7323990000 / EAN:8718973062032,,,,,
20616,"Royal VKB, Melamine Set of 2 Plates 24cm",2,8,PCS,"1,79","14,32"
,PU:4 /Origin:CN / Weight(gr):586 / HS:3924100011 / EAN:8718973982866,,,,,
20615,"Royal VKB, Melamine Serving Bowl  30cm Grey",2,8,PCS,"2,29","18,32"
,PU:4 /Origin:CN / Weight(gr):663 / HS:3924100011 / EAN:8718973982835,,,,,
20594,"Zwilling, Toiletry Bag Elemental 29x17x11cm",1,5,PCS,"3,89","19,45"
