0,1,2,3,4,5,6
Bulgarije,,,,,,
Article,Description,PU,Quantity,,Price/Unit,Amount
S-10717,"Trudeau, pepper and salt mills",",8",4,PCS,"11,90","47,60"
,PU:5 /Origin:CN / Weight(gr):1670 / HS:82100000 / EAN:063562685122,,,,,
S-10703,"Royal Van Kempen, iron square grill 26cm",1,3,PCS,"13,90","41,70"
,PU:3 /Origin:CN / Weight(gr):3470 / HS: / EAN:4895156669029,,,,,
S-10665,"Royal Van Kempen, wok 28cm/3.6L",2,8,PCS,"13,90","111,20"
,PU:4 /Origin:CN / Weight(gr):2535 / HS:7323930090 / EAN:4895156667773,,,,,
S-10662,"Royal Van Kempen, frypan 24cm",1,6,PCS,"9,90","59,40"
,PU:6 /Origin:CN / Weight(gr):1270 / HS:7323930090 / EAN:4895156667834,,,,,
S-10661,"Royal Van Kempen, frypan 28cm",1,5,PCS,"11,90","59,50"
,PU:5 /Origin:CN / Weight(gr):1620 / HS:7323930090 / EAN:4895156667810,,,,,
S-10660,"Royal Van Kempen, skillet 28cm/3.6L + lid",2,8,PCS,"13,90","111,20"
,PU:4 /Origin:CN / Weight(gr):2635 / HS:7323930090 / EAN:4895156667797,,,,,
S-10538,"Villeroy & Boch Vivo Basic, Breakfast Plate 21cm  2pcs set",2,12,PCS,"2,19","26,28"
,PU:6 /Origin:DE / Weight(gr):860 / HS:6911100090 / EAN:4003686256972,,,,,
S-10526,"Villeroy & Boch Vivo, Oval Serving Plate 31cm",2,12,PCS,"3,39","40,68"
,PU:6 /Origin:CN / Weight(gr):695 / HS:6911100000 / EAN:8718973973949,,,,,
S-10238,"Umbra, otto automatic soap dispenser 250ml OZ nickel",4,12,PCS,"2,79","33,48"
,PU:3 /Origin:CN / Weight(gr):500 / HS:8479899790 / EAN:028295317481,,,,,
S-10199,"Emile Henry, Ceramic Pie Dish, Light Brown Diiameter 30 cm","1,5",12,PCS,"2,80","33,60"
,PU:8 /Origin:FR / Weight(gr):1600 / HS:7013100000 / EAN:3289319660007,,,,,
22768,"Sabatier, Knife Block With Sharpener",1,4,PCS,"9,50","38,00"
,PU:4 /Origin:CN / Weight(gr):1970 / HS:8211920000 / EAN:8718973074707,,,,,
22691,"Berndes, Bamboo Chopping Board",1,6,PCS,"3,69","22,14"
,PU:6 /Origin: / Weight(gr):1000 / HS:4419909000 / EAN:5023041544604,,,,,
22681,"Dr. Oetker, Muffin Tin","1,2",6,PCS,"3,90","23,40"
,PU:5 /Origin:DE / Weight(gr):550 / HS:7323990000 / EAN:4044935045343,,,,,
22680,"Dr. Oetker, Loaf Tin 30cm",2,6,PCS,"3,90","23,40"
,PU:3 /Origin: / Weight(gr):570 / HS:7323990000 / EAN:4044935045268,,,,,
22679,"Dr. Oetker, Tart Tin 28cm",2,6,PCS,"3,90","23,40"
,PU:3 /Origin: / Weight(gr):570 / HS:7323990000 / EAN:4044935045220,,,,,
22678,"Dr. Oetker, Springform 26cm",2,6,PCS,"3,90","23,40"
,PU:3 /Origin:DE / Weight(gr):800 / HS:7323990000 / EAN:4044935045206,,,,,
21928,"Sabatier Terra, Frypan 28cm",1,6,PCS,"10,00","60,00"
,PU:6 /Origin:CN / Weight(gr):1200 / HS:7615108090 / EAN:5415252008110,,,,,
21914,"Brabantia Vigo, Oven Dish Rectangular 30cm",3,12,PCS,"3,39","40,68"
